Using pipeline: filesrc location=/home/nvidia/Downloads/pong_video.mp4 ! qtdemux name=demux ! h264parse ! omxh264dec ! videoconvert ! video/x-raw, format=(string)BGR ! appsink
670,359
608,516
541,604
532,594
522,582
521,575
523,566
532,555
536,544
545,539
555,527
563,512
570,510
578,501
585,486
597,479
604,467
609,464
616,456
624,447
632,438
642,427
651,415
655,411
665,400
675,389
678,385
688,373
698,361
701,357
717,339
721,335
728,327
740,313
744,309
751,299
763,286
767,281
776,266
782,266
794,250
798,246
808,235
818,222
820,218
821,205
816,196
812,193
802,181
793,169
785,160
773,148
770,144
762,135
750,120
747,115
739,100
727,93
722,92
728,94
724,92
709,627
703,627
696,627
688,627
684,627
709,624
667,627
661,627
653,627
645,627
639,627
632,627
626,627
620,627
646,627
640,627
632,627
626,627
616,627
573,627
564,627
557,627
553,627
580,627
537,627
531,627
557,627
553,627
553,627
535,627
530,627
530,627
530,627
530,627
530,627
530,627
673,348
668,337
664,327
662,316
657,311
652,303
650,295
645,284
640,274
638,269
632,255
628,247
624,235
627,231
618,222
613,211
610,203
605,194
602,184
598,175
590,154
582,141
581,136
580,133
575,121
573,115
570,109
563,94
561,92
563,92
560,91
572,115
575,121
577,125
584,143
586,149
588,153
593,164
598,175
600,179
604,182
609,202
613,211
617,219
621,229
625,237
629,247
633,249
636,265
640,273
646,286
648,291
651,293
659,306
660,318
665,329
669,339
671,344
676,355
682,360
684,377
689,385
692,393
696,402
700,411
703,420
707,430
709,434
715,447
719,452
724,466
729,478
728,480
731,488
743,511
746,517
747,521
753,533
757,545
762,553
766,562
769,570
773,580
777,589
783,592
785,607
789,614
777,607
770,599
761,589
754,580
740,564
735,559
731,556
727,549
718,540
708,527
700,517
696,514
686,502
677,491
673,487
664,476
653,464
649,460
642,445
634,443
622,430
615,421
607,411
599,403
588,390
584,386
576,377
565,362
561,358
555,343
544,338
534,327
531,323
523,312
521,300
525,289
534,285
544,273
548,271
563,251
567,247
575,237
586,224
590,220
598,211
609,198
613,194
621,184
632,171
640,162
644,157
654,147
664,135
668,131
677,119
687,107
691,102
700,94
695,98
682,624
699,94
700,94
690,102
687,106
678,119
667,131
664,135
654,146
644,157
640,161
629,175
621,184
611,187
609,198
598,211
590,220
586,224
575,237
567,247
563,251
547,269
544,273
535,276
526,289
522,299
525,314
534,323
538,327
548,338
554,343
565,358
569,362
580,377
588,385
596,394
603,402
611,411
615,415
626,430
634,439
644,449
653,461
657,464
667,476
677,487
680,491
690,503
700,513
701,516
713,528
723,542
734,553
742,562
750,571
757,580
765,589
769,594
781,607
789,616
799,624
769,627
808,627
781,627
792,627
794,627
821,627
783,627
813,627
773,627
764,627
758,627
752,627
744,627
738,627
731,627
723,627
717,627
707,627
700,627
696,627
688,627
681,627
675,627
667,627
661,627
656,627
680,624
640,627
634,627
626,627
654,627
647,627
607,627
634,627
626,627
675,362
673,367
677,355
673,367
668,378
663,389
661,394
656,404
651,415
649,420
644,432
640,443
636,452
632,460
628,469
624,478
620,487
617,496
613,505
609,514
605,522
601,531
596,543
594,548
590,559
582,574
578,585
574,596
570,604
566,613
545,609
541,604
534,596
522,582
521,574
523,566
532,554
537,544
551,532
555,527
565,512
570,510
578,501
586,492
597,478
601,473
609,465
616,456
628,443
632,439
644,418
651,415
655,411
663,402
674,389
678,385
688,373
698,361
705,352
717,339
721,335
728,326
740,313
744,308
751,299
763,285
767,281
776,266
782,267
790,254
797,246
807,234
818,222
820,218
821,205
816,196
812,192
796,174
792,169
783,154
773,148
770,144
762,134
754,125
747,115
739,100
727,93
731,100
729,91
724,94
730,99
732,110
737,121
741,129
744,139
748,148
